hs_code_national,landgruppe,landgruppenavn,avgiftstype,avgiftstypebeskrivelse,avgiftsgruppe,avgiftsgruppebeskrivelse,duty_value,rate_type,valid_from,valid_to,enhet,enhet_beskrivelse,oresats_flag
00000011,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2005-01-01,"",P,Prosent av verdien,FALSE
00000033,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2019-10-10,"",P,Prosent av verdien,FALSE
00000044,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2005-01-01,"",P,Prosent av verdien,FALSE
00000044,ALLE,Avgift fra alle land,MV,Merverdiavgift,2,Merverdiavgift lav sats,25,P,2023-03-08,"",P,Prosent av verdien,FALSE
00000055,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2005-01-01,"",P,Prosent av verdien,FALSE
01012100,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
01012902,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2015-01-01,"",P,Prosent av verdien,FALSE
01012908,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2015-01-01,"",P,Prosent av verdien,FALSE
01013000,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
01019000,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
01022100,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
01022900,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
01023100,ALLE,Avgift fra alle land,MV,Merverdiavgift,1,Merverdiavgift,25,P,2012-01-01,"",P,Prosent av verdien,FALSE
